FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
348        10    7     6886         6886         0.11           100.00%
349        4     10    4800         4800         0.04           100.00%
350        6     10    7671         7671         0.06           100.00%
351        15    2     19091        19091        0.16           100.00%
352        8     15    6460         6460         0.05           100.00%
353        7     16    5449         5449         0.04           100.00%
354        12    7     103980       103980       0.87           100.00%
355        8     16    91861        91861        0.86           100.00%
356        15    7     32467        32467        0.24           100.00%
357        6     13    7803         7803         0.06           100.00%
358        17    2     78062        78062        0.81           100.00%
359        15    7     6303         6303         0.26           100.00%
360        12    9     7376         7376         0.06           100.00%
361        13    2     26381        26381        0.24           100.00%
362        8     15    24562        24562        0.23           100.00%
363        6     10    25817        25817        0.19           100.00%
364        17    7     27606        27606        0.22           100.00%
365        13    7     5583         5583         0.05           100.00%
366        11    2     13820        13820        0.11           100.00%
367        17    3     6804         6804         0.04           100.00%
368        15    5     5623         5623         0.05           100.00%
369        14    7     16564        16564        0.13           100.00%
370        17    5     5059         5059         0.04           100.00%
371        7     14    10769        10769        0.08           100.00%
372        13    3     1283442      1283442      13.10          100.00%
373        17    5     6454         6454         0.35           100.00%
374        10    7     15957        15957        1.01           100.00%
375        16    8     14932        14932        0.12           100.00%
376        13    2     12714        12714        0.14           100.00%
377        6     16    6674         6674         0.23           100.00%
378        17    3     32269        32269        1.55           100.00%
379        3     11    5380         5380         0.81           100.00%
380        3     16    8472         8472         0.73           100.00%
381        2     15    228981       228981       2.95           100.00%
382        12    7     9666         9666         0.11           100.00%
383        6     11    6191         6191         0.04           100.00%
384        15    5     22022        22022        0.19           100.00%
385        15    8     12319        12319        0.09           100.00%
386        11    2     8484         8484         0.11           100.00%
387        11    5     7032         7032         0.05           100.00%
388        12    8     10007        10007        0.10           100.00%
389        8     12    7068         7068         0.07           100.00%
390        13    4     5578         5578         0.05           100.00%
391        7     15    10687        10687        0.08           100.00%
392        7     10    6615         6615         0.07           100.00%
393        7     17    14507        14507        0.11           100.00%
394        14    6     19873        19873        0.15           100.00%
395        4     14    5948         5948         0.06           100.00%
396        12    6     5098         5098         0.04           100.00%
397        3     11    7679         7679         0.06           100.00%
398        15    6     31899        31899        0.25           100.00%
399        12    9     14583        14583        0.16           100.00%
