FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
493        233   397   16514        16514        0.27           100.00%
494        681   576   4918         4918         0.14           100.00%
495        226   731   6978         6978         0.15           100.00%
496        691   859   8151         8151         0.19           100.00%
497        598   1006  35651        35651        0.48           100.00%
498        629   383   6780         6780         0.12           100.00%
499        543   133   10656        10656        0.19           100.00%
500        817   572   5092         5092         0.15           100.00%
501        377   603   10033        10033        0.21           100.00%
502        970   677   6571         6571         0.12           100.00%
503        813   702   10506        10506        0.21           100.00%
504        1151  638   22012        22012        0.32           100.00%
505        1098  1128  17152        17152        0.21           100.00%
506        818   418   8073         8073         0.19           100.00%
507        687   679   11869        11869        0.22           100.00%
508        534   611   10595        10595        0.18           100.00%
509        479   1081  5431         5431         0.14           100.00%
510        1093  211   28634        28634        0.34           100.00%
511        397   968   9323         9323         0.15           100.00%
512        1005  623   10791        10791        0.19           100.00%
513        1142  158   8906         8906         0.20           100.00%
514        1080  354   12555        12555        0.20           100.00%
515        385   304   12601        12601        0.20           100.00%
516        258   836   12603        12603        0.23           100.00%
517        588   734   6049         6049         0.09           100.00%
518        1034  873   5109         5109         0.10           100.00%
519        894   318   7255         7255         0.13           100.00%
520        553   947   6170         6170         0.15           100.00%
521        405   611   120753       120753       1.14           100.00%
522        971   326   8669         8669         0.20           100.00%
523        750   152   5009         5009         0.14           100.00%
524        396   881   5945         5945         0.12           100.00%
525        827   300   5086         5086         0.12           100.00%
526        1026  200   7713         7713         0.16           100.00%
527        478   403   7986         7986         0.16           100.00%
528        256   355   8630         8630         0.20           100.00%
529        597   1075  5229         5229         0.15           100.00%
530        673   902   10279        10279        0.24           100.00%
531        320   391   5265         5265         0.13           100.00%
532        694   458   13106        13106        0.23           100.00%
533        766   1014  92171        92171        0.93           100.00%
534        957   346   22056        22056        0.32           100.00%
535        726   524   6827         6827         0.12           100.00%
536        215   556   6412         6412         0.15           100.00%
537        745   345   156116       156116       1.40           100.00%
538        840   958   15600        15600        0.30           100.00%
539        788   500   16518        16518        0.27           100.00%
540        802   545   8428         8428         0.19           100.00%
541        702   1011  14248        14248        0.25           100.00%
