FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
425        632   1052  100063       100063       1.00           100.00%
426        737   1106  6520         6520         0.15           100.00%
427        739   800   4847         4847         0.11           100.00%
428        279   404   4774         4774         0.09           100.00%
429        1123  1036  6476         6476         0.15           100.00%
430        158   711   12663        12663        0.20           100.00%
431        207   580   4990         4990         0.12           100.00%
432        444   841   4801         4801         0.13           100.00%
433        821   993   5725         5725         0.20           100.00%
434        815   489   6527         6527         0.12           100.00%
435        420   914   7270         7270         0.18           100.00%
436        806   466   115605       115605       1.13           100.00%
437        708   190   5207         5207         0.13           100.00%
438        159   403   33637        33637        0.42           100.00%
439        646   895   7224         7224         0.13           100.00%
440        139   949   5340         5340         0.11           100.00%
441        553   690   12765        12765        0.20           100.00%
442        408   756   6241         6241         0.18           100.00%
443        234   644   6782         6782         0.10           100.00%
444        363   1090  38161        38161        0.43           100.00%
445        898   182   6186         6186         0.15           100.00%
446        915   540   4974         4974         0.08           100.00%
447        463   258   11453        11453        0.16           100.00%
448        1058  506   7021         7021         0.18           100.00%
449        450   527   16713        16713        0.27           100.00%
450        1105  446   5315         5315         0.16           100.00%
451        965   900   10227        10227        0.21           100.00%
452        1051  209   6758         6758         0.16           100.00%
453        922   779   7443         7443         0.19           100.00%
454        931   660   17624        17624        0.28           100.00%
455        794   1116  67542        67542        0.68           100.00%
456        590   1018  5631         5631         0.14           100.00%
457        277   774   15278        15278        0.23           100.00%
458        687   923   5725         5725         0.14           100.00%
459        1125  906   5556         5556         0.14           100.00%
460        557   1104  16119        16119        0.21           100.00%
461        342   397   5503         5503         0.17           100.00%
462        1098  1130  4822         4822         0.09           100.00%
463        535   969   29542        29542        0.35           100.00%
464        131   809   4829         4829         0.14           100.00%
465        330   632   9186         9186         0.20           100.00%
466        760   942   7438         7438         0.16           100.00%
467        843   183   53401        53401        0.56           100.00%
468        654   972   14872        14872        0.22           100.00%
469        477   1018  15137        15137        0.22           100.00%
470        200   212   5160         5160         0.10           100.00%
471        908   838   5832         5832         0.17           100.00%
472        1063  197   6841         6841         0.21           100.00%
473        753   589   6922         6922         0.18           100.00%
474        231   827   12665        12665        0.23           100.00%
475        430   527   8282         8282         0.19           100.00%
476        343   994   7578         7578         0.19           100.00%
477        574   540   9921         9921         0.15           100.00%
478        908   923   4899         4899         0.14           100.00%
479        1014  398   15796        15796        0.27           100.00%
480        634   790   47388        47388        0.77           100.00%
481        638   532   8583         8583         0.17           100.00%
482        224   507   37157        37157        0.39           100.00%
483        463   265   62499        62499        0.68           100.00%
484        937   562   6539         6539         0.15           100.00%
485        1142  352   15286        15286        0.26           100.00%
486        566   719   10970        10970        0.16           100.00%
487        594   1079  6939         6939         0.18           100.00%
488        249   295   10312        10312        0.15           100.00%
489        1055  184   6211         6211         0.17           100.00%
490        586   731   12411        12411        0.14           100.00%
491        1103  676   4987         4987         0.12           100.00%
492        1081  617   24565        24565        0.40           100.00%
493        1117  242   9881         9881         0.12           100.00%
494        292   1039  5333         5333         0.13           100.00%
495        604   1067  25419        25419        0.35           100.00%
496        493   983   89913        89913        1.26           100.00%
497        1092  328   5232         5232         0.10           100.00%
498        532   281   6962         6962         0.18           100.00%
499        873   478   6378         6378         0.15           100.00%
500        1074  376   5471         5471         0.14           100.00%
501        863   471   7521         7521         0.17           100.00%
502        1087  751   11221        11221        0.25           100.00%
503        1004  296   28667        28667        0.34           100.00%
504        186   457   9742         9742         0.15           100.00%
505        756   248   5487         5487         0.11           100.00%
506        401   582   28807        28807        0.34           100.00%
507        290   543   8065         8065         0.16           100.00%
508        282   143   5234         5234         0.13           100.00%
509        1025  351   52863        52863        0.59           100.00%
510        497   402   5147         5147         0.10           100.00%
511        1149  391   6621         6621         0.12           100.00%
512        993   965   49087        49087        0.52           100.00%
513        225   1113  15662        15662        0.23           100.00%
514        498   880   16319        16319        0.27           100.00%
515        781   836   12407        12407        0.23           100.00%
516        334   494   8177         8177         0.19           100.00%
517        766   885   5529         5529         0.14           100.00%
518        1053  345   60207        60207        0.88           100.00%
519        848   199   8320         8320         0.19           100.00%
520        398   168   36072        36072        0.41           100.00%
521        803   396   26522        26522        0.32           100.00%
522        297   153   5664         5664         0.14           100.00%
523        819   360   9767         9767         0.21           100.00%
524        398   481   10890        10890        0.19           100.00%
525        1107  881   4772         4772         0.08           100.00%
526        472   664   31491        31491        0.37           100.00%
527        543   720   11005        11005        0.22           100.00%
528        749   447   5571         5571         0.17           100.00%
529        438   483   8074         8074         0.16           100.00%
530        780   661   22427        22427        0.26           100.00%
531        604   520   13521        13521        0.24           100.00%
532        835   367   9556         9556         0.43           100.00%
533        1144  226   7182         7182         0.18           100.00%
534        980   1019  10361        10361        0.16           100.00%
535        334   533   19341        19341        0.30           100.00%
536        404   562   6949         6949         0.18           100.00%
537        1074  1106  31710        31710        0.40           100.00%
538        517   768   23575        23575        0.30           100.00%
539        350   268   9327         9327         0.17           100.00%
540        1042  227   19093        19093        0.29           100.00%
541        480   578   14068        14068        0.29           100.00%
542        1074  275   7680         7680         0.19           100.00%
543        986   439   5278         5278         0.19           100.00%
544        189   879   37523        37523        0.45           100.00%
545        793   866   5650         5650         0.17           100.00%
546        839   820   24052        24052        0.27           100.00%
547        931   860   6461         6461         0.20           100.00%
548        1077  1143  6951         6951         0.21           100.00%
549        267   1103  19063        19063        0.26           100.00%
550        383   165   10269        10269        0.21           100.00%
551        943   778   12942        12942        0.21           100.00%
552        850   1125  136472       136472       1.31           100.00%
553        480   1018  29169        29169        0.35           100.00%
554        1078  265   15272        15272        0.38           100.00%
555        739   329   13019        13019        0.23           100.00%
556        629   169   5771         5771         0.20           100.00%
557        348   842   5978         5978         0.15           100.00%
558        1049  462   9969         9969         0.21           100.00%
559        1097  889   33353        33353        0.42           100.00%
560        922   420   8229         8229         0.19           100.00%
561        931   906   6858         6858         0.19           100.00%
562        800   648   6661         6661         0.18           100.00%
563        927   602   5167         5167         0.15           100.00%
564        200   194   14403        14403        0.22           100.00%
565        683   1104  9724         9724         0.15           100.00%
566        848   324   38429        38429        0.46           100.00%
567        796   198   5621         5621         0.14           100.00%
568        591   1137  7292         7292         0.10           100.00%
569        997   868   6329         6329         0.12           100.00%
570        759   877   8838         8838         0.14           100.00%
571        220   286   5613         5613         0.14           100.00%
572        798   211   70573        70573        0.71           100.00%
573        1134  247   6013         6013         0.19           100.00%
574        850   322   11165        11165        0.22           100.00%
575        184   616   43047        43047        0.54           100.00%
576        218   713   247063       247063       3.39           100.00%
577        813   746   8364         8364         0.11           100.00%
578        393   479   6101         6101         0.17           100.00%
579        204   1016  7311         7311         0.10           100.00%
580        167   566   269198       269198       4.04           100.00%
581        896   761   4949         4949         0.09           100.00%
582        912   445   9444         9444         0.20           100.00%
583        264   359   5445         5445         1.22           100.00%
584        541   517   23106        23106        0.29           100.00%
585        851   843   87949        87949        1.35           100.00%
586        706   1138  14642        14642        0.25           100.00%
587        583   693   5440         5440         0.16           100.00%
588        880   837   7878         7878         0.13           100.00%
589        632   568   7395         7395         0.21           100.00%
590        263   735   25350        25350        0.35           100.00%
591        777   173   15092        15092        0.20           100.00%
592        803   767   6742         6742         0.15           100.00%
593        238   554   11033        11033        0.19           100.00%
594        568   1053  5708         5708         0.20           100.00%
595        785   130   4801         4801         0.08           100.00%
596        280   433   15699        15699        0.23           100.00%
597        672   693   7299         7299         0.16           100.00%
598        261   1065  6301         6301         0.15           100.00%
599        1072  1148  10150        10150        0.18           100.00%
600        528   1139  8326         8326         0.14           100.00%
601        961   371   5402         5402         0.16           100.00%
602        739   684   17126        17126        0.24           100.00%
603        294   639   7531         7531         0.16           100.00%
604        310   1024  9286         9286         0.12           100.00%
605        976   160   6956         6956         0.15           100.00%
606        752   494   12026        12026        0.14           100.00%
607        773   478   8295         8295         0.32           100.00%
608        495   680   4868         4868         0.16           100.00%
609        510   646   12889        12889        0.24           100.00%
610        292   418   23420        23420        0.33           100.00%
611        156   886   4911         4911         0.14           100.00%
612        935   458   7507         7507         0.16           100.00%
613        971   272   10015        10015        0.18           100.00%
614        782   741   4873         4873         0.11           100.00%
615        331   366   7159         7159         0.13           100.00%
616        886   529   9359         9359         0.20           100.00%
617        438   573   4922         4922         0.12           100.00%
618        167   399   47064        47064        0.54           100.00%
619        591   893   9407         9407         0.17           100.00%
620        143   791   5200         5200         0.19           100.00%
621        1132  1072  7360         7360         0.19           100.00%
622        698   207   11925        11925        0.20           100.00%
623        263   530   6349         6349         0.18           100.00%
